"","ID","Position","EAP","SE"
"375",47,7,-1.473,0.538
"376",47,8,-1.573,0.544
"377",48,1,-0.544,0.726
"378",48,2,-0.002,0.391
"379",48,3,0.088,0.303
"380",48,4,0.125,0.26
"381",48,5,0.07,0.244
"382",48,6,0.011,0.234
"383",48,7,0.008,0.217
"384",48,8,-0.002,0.203
"385",49,1,-0.544,0.726
"386",49,2,-0.845,0.648
"387",49,3,-1.109,0.606
"388",49,4,-0.625,0.387
"389",49,5,-0.719,0.368
"390",49,6,-0.554,0.299
"391",49,7,-0.616,0.288
"392",49,8,-0.675,0.282
"393",50,1,1.17,0.43
"394",50,2,1.031,0.312
"395",50,3,1.213,0.264
"396",50,4,1.223,0.227
"397",50,5,1.271,0.206
"398",50,6,1.289,0.191
"399",50,7,1.281,0.18
"400",50,8,1.302,0.17
"401",51,1,0.6,0.417
"402",51,2,0.713,0.299
"403",51,3,0.764,0.251
"404",51,4,0.643,0.233
"405",51,5,0.644,0.21
"406",51,6,0.595,0.194
"407",51,7,0.652,0.184
"408",51,8,0.595,0.177
"409",52,1,-0.544,0.726
"410",52,2,-0.002,0.391
"411",52,3,0.088,0.303
"412",52,4,0.125,0.26
"413",52,5,0.07,0.244
"414",52,6,0.011,0.234
"415",52,7,0.008,0.217
"416",52,8,-0.002,0.203
"417",53,1,-0.544,0.726
"418",53,2,-0.002,0.391
"419",53,3,0.088,0.303
"420",53,4,0.125,0.26
"421",53,5,0.07,0.244
"422",53,6,0.011,0.234
"423",53,7,0.008,0.217
"424",53,8,-0.002,0.203
"425",54,1,-0.544,0.726
"426",54,2,-0.845,0.648
"427",54,3,-1.109,0.606
"428",54,4,-1.254,0.575
"429",54,5,-1.359,0.557
"430",54,6,-1.434,0.547
"431",54,7,-1.473,0.538
"432",54,8,-1.573,0.544
"433",55,1,1.17,0.43
"434",55,2,1.386,0.308
"435",55,3,1.564,0.264
"436",55,4,1.591,0.231
"437",55,5,1.576,0.209
"438",55,6,1.662,0.196
"439",55,7,1.723,0.184
"440",55,8,1.77,0.174
"441",56,1,1.17,0.43
"442",56,2,1.386,0.308
"443",56,3,1.346,0.254
"444",56,4,1.418,0.225
"445",56,5,1.432,0.204
"446",56,6,1.429,0.19
"447",56,7,1.405,0.179
"448",56,8,1.437,0.17
"449",57,1,-0.544,0.726
"450",57,2,-0.845,0.648
"451",57,3,-0.447,0.403
"452",57,4,-0.587,0.38
"453",57,5,-0.426,0.299
"454",57,6,-0.506,0.286
"455",57,7,-0.578,0.28
"456",57,8,-0.488,0.246
"457",58,1,0.6,0.417
"458",58,2,0.713,0.299
"459",58,3,0.764,0.251
"460",58,4,0.785,0.22
"461",58,5,0.719,0.206
"462",58,6,0.807,0.193
"463",58,7,0.852,0.18
"464",58,8,0.914,0.172
"465",59,1,-0.544,0.726
"466",59,2,-0.002,0.391
"467",59,3,0.088,0.303
"468",59,4,0.125,0.26
"469",59,5,0.07,0.244
"470",59,6,0.011,0.234
"471",59,7,0.116,0.214
"472",59,8,0.092,0.202
"473",60,1,-0.544,0.726
"474",60,2,-0.845,0.648
"475",60,3,-1.109,0.606
"476",60,4,-1.254,0.575
"477",60,5,-1.359,0.557
"478",60,6,-1.434,0.547
"479",60,7,-1.473,0.538
"480",60,8,-1.573,0.544
"481",61,1,0.6,0.417
"482",61,2,0.713,0.299
"483",61,3,0.764,0.251
"484",61,4,0.643,0.233
"485",61,5,0.644,0.21
"486",61,6,0.717,0.195
"487",61,7,0.671,0.185
"488",61,8,0.692,0.172
"489",62,1,-0.544,0.726
"490",62,2,-0.845,0.648
"491",62,3,-1.109,0.606
"492",62,4,-1.254,0.575
"493",62,5,-1.359,0.557
"494",62,6,-1.434,0.547
"495",62,7,-1.473,0.538
"496",62,8,-1.573,0.544
"497",63,1,-0.544,0.726
"498",63,2,-0.845,0.648
"499",63,3,-1.109,0.606
"500",63,4,-1.254,0.575
"501",63,5,-1.359,0.557
"502",63,6,-1.434,0.547
"503",63,7,-1.473,0.538
"504",63,8,-1.573,0.544
"505",64,1,-0.544,0.726
"506",64,2,-0.845,0.648
"507",64,3,-1.109,0.606
"508",64,4,-1.254,0.575
"509",64,5,-1.359,0.557
"510",64,6,-1.434,0.547
"511",64,7,-1.473,0.538
"512",64,8,-1.573,0.544
"513",65,1,-0.544,0.726
"514",65,2,-0.845,0.648
"515",65,3,-0.447,0.403
"516",65,4,-0.587,0.38
"517",65,5,-0.426,0.299
"518",65,6,-0.506,0.286
"519",65,7,-0.578,0.28
"520",65,8,-0.488,0.246
"521",66,1,0.6,0.417
"522",66,2,0.713,0.299
"523",66,3,0.764,0.251
"524",66,4,0.643,0.233
"525",66,5,0.644,0.21
"526",66,6,0.717,0.195
"527",66,7,0.671,0.185
"528",66,8,0.692,0.172
"529",67,1,-0.544,0.726
"530",67,2,-0.845,0.648
"531",67,3,-1.109,0.606
"532",67,4,-1.254,0.575
"533",67,5,-1.359,0.557
"534",67,6,-1.434,0.547
"535",67,7,-1.473,0.538
"536",67,8,-1.573,0.544
"537",68,1,-0.544,0.726
"538",68,2,-0.845,0.648
"539",68,3,-0.447,0.403
"540",68,4,-0.587,0.38
